Coverage: 9.14%

LLVM-COV REPORT:
Filename                                                                  Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
opt/homebrew/lib/QtGui.framework/Headers/qvectornd.h                          117               112     4.27%         117               112     4.27%         430               423     1.63%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qapplication.h                     2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qcombobox.h                        5                 3    40.00%           5                 3    40.00%           5                 3    40.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qgraphicsscene.h                  10                10     0.00%          10                10     0.00%          10                10     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qgraphicsview.h                   11                11     0.00%          11                11     0.00%          11                11     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qlabel.h                           2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qmessagebox.h                      4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qrubberband.h                      5                 5     0.00%           5                 5     0.00%           5                 5     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qsizepolicy.h                     26                21    19.23%          26                21    19.23%          42                37    11.90%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qstyleoption.h                    24                24     0.00%          24                24     0.00%          24                24     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qtextedit.h                        4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
opt/homebrew/lib/QtWidgets.framework/Headers/qwidget.h                         47                42    10.64%          47                42    10.64%          57                52     8.77%           0                 0         -

Files which contain no functions:
opt/homebrew/lib/QtCore.framework/Headers/qcompilerdetection.h                  0                 0         -           0                 0         -           0                 0         -           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qtpreprocessorsupport.h               0                 0         -           0                 0         -           0                 0         -           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                        4555              3987    12.47%        3957              3725     5.86%        9565              8690     9.15%         426               260    38.97%
FUNC TESTS OUTPUT:

